workflow_id	task_name	cpus	memory	disk	duration	cost
73af3ef3-7829-4725-8077-a95975602847	bamToFastq	2	10GB	40GB	6.14h	$0.16
73af3ef3-7829-4725-8077-a95975602847	salmon_paired_reads	10	64GB	80GB	1.42h	$0.19
2ae184b7-5101-4f4d-9155-d315ae5d485e	bamToFastq	0	0GB	0GB	0.00h	$0.00
2ae184b7-5101-4f4d-9155-d315ae5d485e	salmon_paired_reads	10	64GB	80GB	25.76h	$3.46
f1ecad24-7f3b-4f47-8c87-51f466f77e3d	bamToFastq	2	10GB	40GB	35.91h	$0.92
f1ecad24-7f3b-4f47-8c87-51f466f77e3d	salmon_paired_reads	10	64GB	80GB	3.16h	$0.42
a79255e1-5de6-4b37-b77d-5d9df89a12ee	bamToFastq	2	10GB	40GB	33.41h	$0.85
a79255e1-5de6-4b37-b77d-5d9df89a12ee	salmon_paired_reads	10	64GB	80GB	11.91h	$1.60
4cd9de90-3b18-446c-8f2a-594abb532835	bamToFastq	0	0GB	0GB	0.00h	$0.00
4cd9de90-3b18-446c-8f2a-594abb532835	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
0f779143-46cb-471d-9422-38309a723a74	bamToFastq	2	10GB	40GB	28.56h	$0.73
78af70c5-c64f-4cc1-ba8b-c623cdc43435	bamToFastq	2	10GB	40GB	33.61h	$0.86
78af70c5-c64f-4cc1-ba8b-c623cdc43435	salmon_paired_reads	10	64GB	80GB	8.52h	$1.14
113fac59-afb0-4639-8a93-79dff6fdaad7	bamToFastq	2	10GB	40GB	10.36h	$0.26
113fac59-afb0-4639-8a93-79dff6fdaad7	salmon_paired_reads	10	64GB	80GB	2.99h	$0.40
9bfea65d-2f87-4ba5-a21d-be25aa3f43f9	bamToFastq	2	10GB	40GB	16.67h	$0.43
9bfea65d-2f87-4ba5-a21d-be25aa3f43f9	salmon_paired_reads	10	64GB	80GB	0.95h	$0.13
8482e873-644e-4121-acdb-e5634c305306	bamToFastq	2	10GB	40GB	28.19h	$0.72
ba661ed5-9281-4f73-afcb-00c1137138c0	bamToFastq	2	10GB	40GB	25.67h	$0.66
ba661ed5-9281-4f73-afcb-00c1137138c0	salmon_paired_reads	10	64GB	80GB	0.91h	$0.12
a3807040-03e6-4c0b-ad6c-39b858a3bb88	bamToFastq	2	10GB	40GB	14.50h	$0.37
a3807040-03e6-4c0b-ad6c-39b858a3bb88	bamToFastq	2	10GB	40GB	0.44h	$0.01
a3807040-03e6-4c0b-ad6c-39b858a3bb88	salmon_paired_reads	10	64GB	80GB	1.64h	$0.22
a3807040-03e6-4c0b-ad6c-39b858a3bb88	salmon_paired_reads	10	64GB	80GB	1.32h	$0.18
f9b983fa-d2d6-41d4-b10f-22cef81a911d	bamToFastq	2	10GB	40GB	0.54h	$0.01
f9b983fa-d2d6-41d4-b10f-22cef81a911d	salmon_paired_reads	10	64GB	80GB	3.33h	$0.45
ba60aa61-d046-436c-825d-4569c074901b	bamToFastq	2	10GB	40GB	26.45h	$0.68
ba60aa61-d046-436c-825d-4569c074901b	salmon_paired_reads	10	64GB	80GB	0.86h	$0.12
a9bedbb1-1ee2-4ef7-b07e-2592ffe3fe61	bamToFastq	2	10GB	40GB	26.31h	$0.67
a9bedbb1-1ee2-4ef7-b07e-2592ffe3fe61	salmon_paired_reads	10	64GB	80GB	5.74h	$0.77
92afd912-c498-4061-93c6-540f4cc67993	bamToFastq	2	10GB	40GB	10.78h	$0.28
92afd912-c498-4061-93c6-540f4cc67993	salmon_paired_reads	10	64GB	80GB	1.36h	$0.18
40ee0748-4e48-415c-a17f-56d3bff4a603	bamToFastq	2	10GB	40GB	30.83h	$0.79
40ee0748-4e48-415c-a17f-56d3bff4a603	salmon_paired_reads	10	64GB	80GB	0.85h	$0.11
b5116112-5d05-4902-8fb5-5f9cf3525d5d	bamToFastq	2	10GB	40GB	39.19h	$1.00
b5116112-5d05-4902-8fb5-5f9cf3525d5d	salmon_paired_reads	10	64GB	80GB	5.52h	$0.74
32e3b703-13ed-48cd-8fc4-dd1f58bb2dfc	bamToFastq	2	10GB	40GB	10.18h	$0.26
32e3b703-13ed-48cd-8fc4-dd1f58bb2dfc	salmon_paired_reads	10	64GB	80GB	1.12h	$0.15
33266d09-8833-4648-9473-c1164c535028	bamToFastq	2	10GB	40GB	37.54h	$0.96
33266d09-8833-4648-9473-c1164c535028	bamToFastq	2	10GB	40GB	0.59h	$0.02
33266d09-8833-4648-9473-c1164c535028	salmon_paired_reads	10	64GB	80GB	2.15h	$0.29
c4f310b0-38b5-44f7-8d98-99bdccaeeabb	bamToFastq	2	10GB	40GB	12.94h	$0.33
c4f310b0-38b5-44f7-8d98-99bdccaeeabb	salmon_paired_reads	10	64GB	80GB	6.49h	$0.87
96fef005-3383-4d5b-b49d-dcba7aec121b	bamToFastq	2	10GB	40GB	0.51h	$0.01
96fef005-3383-4d5b-b49d-dcba7aec121b	salmon_paired_reads	10	64GB	80GB	26.98h	$3.62
12b66b35-3859-4503-8b3d-01b3e88e9b62	bamToFastq	2	10GB	40GB	29.72h	$0.76
12b66b35-3859-4503-8b3d-01b3e88e9b62	salmon_paired_reads	10	64GB	80GB	0.84h	$0.11
cf72c352-07c4-4ce8-bf99-62c1e08c6536	bamToFastq	2	10GB	40GB	28.93h	$0.74
10ac359f-adda-41bb-97c3-6da6149f2c1b	bamToFastq	2	10GB	40GB	2.02h	$0.05
10ac359f-adda-41bb-97c3-6da6149f2c1b	salmon_paired_reads	10	64GB	80GB	3.16h	$0.42
5ec61292-1124-4be2-a6e8-6df15919b114	bamToFastq	2	10GB	40GB	27.86h	$0.71
5ec61292-1124-4be2-a6e8-6df15919b114	salmon_paired_reads	10	64GB	80GB	0.97h	$0.13
ea538f0e-29e3-472f-bae2-16bff58c807f	bamToFastq	2	10GB	40GB	40.49h	$1.03
ea538f0e-29e3-472f-bae2-16bff58c807f	salmon_paired_reads	10	64GB	80GB	4.01h	$0.54
ea538f0e-29e3-472f-bae2-16bff58c807f	salmon_paired_reads	10	64GB	80GB	1.53h	$0.21
beafa72a-f1ff-47e0-a129-279fd6b4bca6	bamToFastq	0	0GB	0GB	0.00h	$0.00
beafa72a-f1ff-47e0-a129-279fd6b4bca6	salmon_paired_reads	10	64GB	80GB	3.05h	$0.41
b9c62b1d-9d89-494a-9d32-1f95c62be158	bamToFastq	2	10GB	40GB	5.99h	$0.15
b9c62b1d-9d89-494a-9d32-1f95c62be158	salmon_paired_reads	10	64GB	80GB	2.22h	$0.30
bb06f4f2-37c9-4a27-9238-34bc101ceec7	bamToFastq	2	10GB	40GB	10.30h	$0.26
bb06f4f2-37c9-4a27-9238-34bc101ceec7	salmon_paired_reads	10	64GB	80GB	2.13h	$0.29
d07881ec-d4e4-4eb4-9d0e-f1d9faeeca1d	bamToFastq	2	10GB	40GB	34.66h	$0.89
d07881ec-d4e4-4eb4-9d0e-f1d9faeeca1d	salmon_paired_reads	10	64GB	80GB	8.81h	$1.18
3dc97edb-f273-403b-a957-d21ac3dbae8b	bamToFastq	2	10GB	40GB	3.84h	$0.10
3dc97edb-f273-403b-a957-d21ac3dbae8b	salmon_paired_reads	10	64GB	80GB	0.72h	$0.10
f0646e27-b425-445a-8857-da55b213baa7	bamToFastq	2	10GB	40GB	3.38h	$0.09
f0646e27-b425-445a-8857-da55b213baa7	salmon_paired_reads	10	64GB	80GB	0.69h	$0.09
6635b34f-3b37-4d66-982e-437f610dd2c7	bamToFastq	2	10GB	40GB	21.27h	$0.54
6635b34f-3b37-4d66-982e-437f610dd2c7	salmon_paired_reads	10	64GB	80GB	13.92h	$1.87
2025aea6-5f08-43a3-b1e0-79e114e3bca7	bamToFastq	2	10GB	40GB	7.94h	$0.20
2025aea6-5f08-43a3-b1e0-79e114e3bca7	salmon_paired_reads	10	64GB	80GB	1.45h	$0.19
906b3d38-09d4-44dc-b903-2f091827dbd4	bamToFastq	2	10GB	40GB	5.48h	$0.14
906b3d38-09d4-44dc-b903-2f091827dbd4	salmon_paired_reads	10	64GB	80GB	2.19h	$0.29
e5dc8f17-2018-4333-803b-518d2f0ef340	bamToFastq	2	10GB	40GB	25.84h	$0.66
e5dc8f17-2018-4333-803b-518d2f0ef340	salmon_paired_reads	10	64GB	80GB	1.75h	$0.23
ad7bc1c1-30a9-4c99-9bfa-594fe051888f	bamToFastq	2	10GB	40GB	7.45h	$0.19
ad7bc1c1-30a9-4c99-9bfa-594fe051888f	salmon_paired_reads	10	64GB	80GB	1.24h	$0.17
a03e1982-8721-47e2-9f93-37f99377355d	bamToFastq	2	10GB	40GB	39.94h	$1.02
a03e1982-8721-47e2-9f93-37f99377355d	salmon_paired_reads	10	64GB	80GB	3.59h	$0.48
482d451c-c702-45b2-8240-c023229af557	bamToFastq	2	10GB	40GB	14.36h	$0.37
482d451c-c702-45b2-8240-c023229af557	salmon_paired_reads	10	64GB	80GB	4.00h	$0.54
7d589caf-9568-4eb8-b2f0-35e059f9d226	bamToFastq	2	10GB	40GB	39.08h	$1.00
7d589caf-9568-4eb8-b2f0-35e059f9d226	salmon_paired_reads	10	64GB	80GB	1.17h	$0.16
7990f112-f94f-4935-ade4-a85a82a38309	bamToFastq	2	10GB	40GB	28.71h	$0.73
3c747ed2-3178-4188-bd96-ae9f5309b285	bamToFastq	2	10GB	40GB	36.10h	$0.92
3c747ed2-3178-4188-bd96-ae9f5309b285	salmon_paired_reads	10	64GB	80GB	1.04h	$0.14
9be72c77-2c9d-4d1a-aeeb-310781d66d1d	bamToFastq	2	10GB	40GB	17.93h	$0.46
a7f9ef43-188d-4412-87f2-41879ae87e6f	bamToFastq	2	10GB	40GB	25.36h	$0.65
1a0f4c5c-c0b4-4375-bcf0-b08d8d564925	bamToFastq	2	10GB	40GB	35.67h	$0.91
1a0f4c5c-c0b4-4375-bcf0-b08d8d564925	salmon_paired_reads	10	64GB	80GB	8.35h	$1.12
9603e6c3-3560-4711-acfa-adf63fb73920	bamToFastq	2	10GB	40GB	30.46h	$0.78
9603e6c3-3560-4711-acfa-adf63fb73920	salmon_paired_reads	10	64GB	80GB	1.33h	$0.18
aa2d1deb-e7d1-4f9d-a8b8-f917a1f674d5	bamToFastq	2	10GB	40GB	36.44h	$0.93
aa2d1deb-e7d1-4f9d-a8b8-f917a1f674d5	salmon_paired_reads	10	64GB	80GB	8.59h	$1.15
9f5be53f-048f-4f4f-b160-cc861548079c	bamToFastq	2	10GB	40GB	33.06h	$0.84
9f5be53f-048f-4f4f-b160-cc861548079c	salmon_paired_reads	10	64GB	80GB	0.63h	$0.09
971332ea-0ce9-4760-a1be-97a0d9b1ab7a	bamToFastq	2	10GB	40GB	14.82h	$0.38
971332ea-0ce9-4760-a1be-97a0d9b1ab7a	salmon_paired_reads	10	64GB	80GB	0.78h	$0.10
40a09291-de4e-4b59-af9d-a140581d7f74	bamToFastq	2	10GB	40GB	12.56h	$0.32
40a09291-de4e-4b59-af9d-a140581d7f74	salmon_paired_reads	10	64GB	80GB	1.82h	$0.24
40a09291-de4e-4b59-af9d-a140581d7f74	salmon_paired_reads	10	64GB	80GB	2.74h	$0.37
1cfbd6d7-b674-4450-b48f-b7f92adee9b7	bamToFastq	2	10GB	40GB	18.58h	$0.47
1cfbd6d7-b674-4450-b48f-b7f92adee9b7	salmon_paired_reads	10	64GB	80GB	0.84h	$0.11
5168b3c3-5f0b-4f03-8a39-3088f5122b69	bamToFastq	2	10GB	40GB	36.71h	$0.94
5168b3c3-5f0b-4f03-8a39-3088f5122b69	salmon_paired_reads	10	64GB	80GB	0.50h	$0.07
5168b3c3-5f0b-4f03-8a39-3088f5122b69	salmon_paired_reads	10	64GB	80GB	1.22h	$0.16
21604d31-9dc1-4f91-874f-22b07d85c8c6	bamToFastq	2	10GB	40GB	9.31h	$0.24
21604d31-9dc1-4f91-874f-22b07d85c8c6	salmon_paired_reads	10	64GB	80GB	0.79h	$0.11
a12b4ee9-e688-426e-8ff4-609432e7fe87	bamToFastq	2	10GB	40GB	0.29h	$0.01
a12b4ee9-e688-426e-8ff4-609432e7fe87	salmon_paired_reads	10	64GB	80GB	1.59h	$0.21
ceff9601-2d5f-4b4d-9847-cd057181084c	bamToFastq	0	0GB	0GB	0.00h	$0.00
ceff9601-2d5f-4b4d-9847-cd057181084c	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
