geneId	ctrl_1	ctrl_2	ctrl_3	kras_1	kras_2	kras_3
CXCR1	0	0	0	0	0	0
AKT2	3302	3595	3515	3367	2654	2856
MTCO3P12	13	11	17	13	14	11
LINC02068	0	0	0	0	0	0
LGALS8	302	376	393	339	231	237
UPRT	329	450	443	460	301	315
KCTD19	22	36	19	20	12	12
SAMD1	1397	1508	1429	1528	1190	1358
USP54	1310	1493	1514	1510	1151	1333
CACNA1E	44	57	47	48	29	32
AC012368.2	0	0	0	0	0	0
CCK	2	5	2	5	3	3
USHBP1	324	314	364	293	236	270
NF1	1430	1907	2112	1983	1268	1461
SOCS2-AS1	136	147	141	141	119	117
ALG1L12P	0	0	0	0	2	0
AC090643.2	0	0	0	0	0	0
CES5A	0	0	0	0	0	0
DNAAF1	6	3	5	0	3	4
LINC02293	16	6	17	6	10	11
MPPE1	280	325	319	330	244	264
ZFYVE21	1630	1794	1760	1678	1444	1453
RAB1A	1931	2550	2742	2457	1958	2069
ANKRD42	205	245	248	213	195	157
AP000860.1	0	0	0	0	0	0
AC106733.1	0	0	0	0	0	0
COPS9	702	854	810	893	691	756
AARS1	8498	10777	9596	10957	8273	8605
DNAJA1P3	5	1	6	2	2	6
RNA5SP519	0	0	0	0	0	0
AC020661.2	0	0	0	0	0	0
FGF11	428	561	508	586	417	488
LHFPL3-AS1	0	0	0	0	0	0
RFXANK	1000	1079	1030	914	804	910
SP100	13	11	5	2	1	10
TSPY1	0	0	0	0	0	0
SAR1B	493	681	733	648	470	465
TMBIM4	266	354	456	339	257	275
USP10	3284	4222	3954	4104	3017	3224
AFF2	345	387	437	389	298	318
LINC01630	4	10	17	10	7	5
AC068389.1	0	1	0	0	1	0
AC004448.4	0	0	0	0	0	0
LINC00354	1	0	4	2	1	0
CENPP	253	311	310	260	207	209
BTF3L4	1762	2387	2796	2271	1788	1733
DALRD3	799	788	706	680	593	615
LINC01563	0	1	0	0	0	0
UBE2V1P11	0	0	0	0	0	0
PDE11A-AS1	0	0	0	0	0	0
GTPBP8	195	223	271	230	185	163
MIR2052HG	19	23	24	11	17	21
UBE2W	271	347	419	367	268	233
AZU1P1	0	0	0	0	0	0
AL391056.2	0	0	0	0	0	0
IQCG	185	211	193	179	125	140
PFAS	4041	4648	4363	4235	3192	3376
AC103739.1	0	1	0	0	0	0
CFAP97D2	0	0	0	0	0	0
GRB10	2454	3069	3145	3523	2555	2840
SLC4A1APP1	0	0	0	0	0	0
CDCA5	2379	2997	2735	2836	2230	2109
AC069542.2	0	0	0	0	0	0
CFAP57	19	24	18	17	11	17
SNX27	1323	1534	1633	1743	1093	1245
CELF2-DT	0	0	0	0	0	0
AC093766.1	0	0	0	0	0	2
AC103563.6	0	0	0	0	0	0
AL606970.3	0	0	0	0	0	0
H3P26	0	0	0	0	0	0
RNASET2	584	560	608	561	467	519
SULT6B2P	0	0	0	0	0	0
CXorf38	303	387	446	419	302	306
DHX33	2064	2546	2522	2513	1842	2010
DARS2	1570	2223	2186	2192	1713	1650
ACOT12	1	5	3	3	0	0
ALDH4A1	1987	2047	2089	2037	1628	1714
KRT7	312	302	360	293	271	326
PTPN12	1850	2501	2672	2725	1813	1899
TMEM220	54	59	56	59	58	60
MSR1	4	3	1	8	4	6
MAP11	484	499	503	403	359	402
AC011370.1	14	15	21	33	17	15
AC009560.4	0	0	3	0	0	0
HMGN3P1	0	0	0	0	0	0
GNL1	2019	2401	2145	2138	1796	1885
TRIM5	991	1219	1325	1194	856	921
AC011611.6	0	0	0	0	0	0
LINGO3	101	85	66	67	53	62
NABP2	933	1198	1011	1106	825	867
ZGPAT	825	828	816	765	695	666
GGTLC5P	0	0	0	0	1	0
ETDA	0	0	0	0	0	0
HMGN2P18	0	0	0	0	0	0
SLC24A4	10	6	7	2	4	4
FNBP1P1	26	49	67	48	35	36
AC002064.3	0	0	0	0	0	0
AC016737.2	0	0	0	0	0	0
AC099521.2	0	2	2	3	3	3
RPL14	19291	23796	22765	22708	18588	18479
AC010609.1	0	0	0	0	0	0
RPL7AP72	0	0	0	0	0	0
HERC4	979	1341	1492	1381	1042	997
COX6CP10	0	0	0	0	0	0
TMEM245	2277	2922	3254	2810	1954	2062
C6orf52	2	15	12	5	9	8
OR4B1	0	0	0	0	0	0
CLECL1	0	0	0	0	0	0
PMS2P2	0	2	2	3	3	1
AC012360.1	0	0	2	4	0	0
PLOD2	790	1066	1285	1099	776	788
MIR3118-2	0	0	0	0	0	0
COX6B1	4419	4555	3957	4404	3633	3870
AP003464.1	0	0	0	0	0	0
IL17B	1	0	0	0	0	0
AL591424.2	0	0	0	0	0	0
HNRNPA1P65	0	0	0	0	0	0
AL139099.1	1	0	3	3	2	0
RNU6-892P	0	0	0	0	0	0
KIF24	316	361	398	350	267	263
LINC01853	0	0	0	0	0	0
ABCC6	67	74	57	42	30	48
AP001007.2	0	0	0	0	0	0
AC012464.2	0	3	1	0	0	0
MRPS14	607	852	814	678	632	647
TRIM22	1608	2065	2203	1895	1522	1560
CCDC166	0	0	0	0	0	0
BIRC7	3	6	2	2	2	2
AC007541.1	9	13	11	11	10	6
MIR609	0	0	0	0	0	0
TCF4-AS2	0	0	0	0	0	0
AC108448.2	0	0	0	0	0	0
AC138701.1	0	0	0	0	0	0
ARL4AP3	0	0	0	0	0	0
MPZL2	31	40	40	1	2	5
AC006013.1	0	0	0	0	0	0
AC022730.4	2	5	3	6	3	4
RAB5CP1	0	0	0	0	0	0
AL512326.3	0	0	0	0	0	0
AC091179.2	0	0	0	0	0	0
AC002115.1	0	1	2	2	2	1
KCNH5	80	136	103	114	61	78
TUBB1P2	0	0	0	0	0	0
LINC02541	0	0	0	0	0	0
AC019193.1	0	0	0	0	0	0
AC022098.1	11	17	22	13	9	12
EID2B	69	63	87	59	48	40
HPAT5	368	410	379	464	341	428
AC008507.5	0	0	0	0	0	0
NSDHL	887	1075	937	989	812	759
AP000553.5	5	1	5	5	1	2
RPL9P16	0	0	0	0	0	0
ADAM1B	0	0	0	0	0	0
AC013269.2	0	0	0	0	0	0
AC073848.1	0	0	0	0	0	0
AC025674.2	0	0	0	0	0	0
AL589765.6	2	1	0	1	1	0
AC073862.3	0	0	0	0	0	0
FITM1	1	2	0	0	1	0
CLSTN2	22	43	29	32	20	45
AC008443.7	0	0	0	0	0	0
MTND3P3	0	0	0	0	0	0
AL359212.1	0	0	0	0	0	0
AC007786.2	0	0	1	0	0	0
FRMPD3-AS1	0	0	0	0	0	0
HDAC9-AS1	0	0	0	0	0	0
AC104012.1	0	0	0	0	0	0
AC007218.3	6	12	7	5	5	6
AL357140.3	0	0	1	1	0	0
AC020719.1	0	0	0	0	0	0
AC005785.2	0	1	0	2	0	0
RNU6-1188P	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
SESN2	1204	1334	1132	1316	1030	1059
OR9G1	0	0	0	0	0	0
FAM230J	0	0	0	0	0	0
AC010319.4	0	1	0	1	0	0
ALG1L10P	0	0	1	0	0	0
AC137810.1	0	0	0	0	0	0
RPS3AP13	0	0	0	0	0	0
AC114341.1	1	1	0	0	0	2
ST6GALNAC4P1	1	1	0	0	0	0
IGFBP7-AS1	0	0	0	0	0	0
AC008558.1	0	0	0	0	0	0
MTX3	940	1165	1468	1193	782	877
AC112204.3	0	0	0	0	0	0
LINC02311	0	0	0	0	0	0
ZNF511	1029	1106	992	960	807	939
POMGNT2	704	819	785	790	668	618
AL356495.1	9	10	7	17	4	9
OTOP1	0	1	0	1	1	1
AL390729.1	0	0	0	0	0	0
MIR381HG	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
AL023584.2	0	0	0	0	0	0
CHMP1B	1385	1612	1679	1604	1275	1269
AL049541.1	0	0	0	0	0	0
AC022447.6	0	0	0	0	0	0
RNU7-165P	0	0	0	0	0	0
AC060814.1	0	0	0	0	0	0
NXPH3	293	309	293	328	243	305
AC104297.1	0	0	0	0	0	0
GLYATL1P2	0	0	0	0	0	0
AC080188.1	1	1	0	1	2	0
AL359951.1	0	0	0	0	0	0
INAFM1	73	66	53	63	41	48
RNU6-293P	0	0	0	0	0	0
KRT8P7	0	0	0	0	0	0
RNU6-624P	0	0	0	0	0	0
AL160271.1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0
ZNF299P	0	0	0	0	0	0
CHRM1	0	1	2	1	0	0
AC104073.2	0	0	0	0	0	0
AC099753.1	0	0	0	0	0	0
EEF1GP1	1	0	0	0	0	0
RPS23P7	0	0	0	0	0	0
AC036108.2	2	2	2	0	2	1
AC005777.1	0	0	0	0	0	0
SNORD14B	0	0	0	0	0	0
AL122018.2	0	0	0	0	0	0
KRTAP19-2	0	0	0	0	0	0
RN7SKP289	0	0	0	0	0	0
AC090151.1	0	0	0	0	0	0
AC022098.3	0	0	2	0	0	0
AC020910.6	29	40	37	39	20	34
PDHA2	0	0	0	0	0	0
AC084123.1	0	0	0	0	0	0
SNORA80B	0	0	0	0	0	0
AC099654.3	0	0	0	0	0	0
ADAT3	154	125	78	85	88	119
AF228730.2	0	0	0	0	0	0
RPS3AP53	0	0	0	0	0	0
AL136968.1	0	0	0	0	0	0
SEPTIN10P1	1	0	0	0	0	0
AL138745.1	0	0	0	0	0	0
SNORD115-48	0	0	0	0	0	0
DPRXP1	0	0	0	0	0	0
MAP3K5-AS1	0	0	0	0	0	0
MIR758	0	0	0	0	0	0
RNA5SP21	0	0	0	0	0	0
IGKV3OR2-268	0	0	0	0	0	0
OR7A19P	0	0	0	0	0	0
AC136443.3	1	0	0	2	0	2
AC006157.1	2	2	6	0	0	0
AP000759.1	5	0	5	1	2	4
GOLGA6L11P	0	0	0	0	0	0
ZNF629	1386	1537	1513	1409	1084	1182
AC092691.3	0	0	0	0	0	0
AC135584.1	0	0	0	0	0	0
AL133320.1	0	0	0	0	0	0
LGALS8-AS1	3	9	5	1	1	2
RNA5SP350	0	0	0	0	0	0
AC112907.1	0	0	0	0	0	0
RPF2P2	0	0	0	0	0	0
AC036101.1	0	0	0	0	0	0
YBX1P1	4	6	5	9	9	4
IGKV2D-10	0	0	0	0	0	0
MIR6726	0	0	0	0	0	0
AC026787.1	0	0	0	0	0	0
AP000550.2	0	0	0	0	0	0
AC092192.1	0	0	0	0	0	0
TRAJ27	0	0	0	0	0	0
RPL37P4	0	0	0	0	0	0
AC104841.1	0	0	0	0	0	0
AL049835.1	0	0	0	0	0	0
AC011451.4	0	2	0	3	2	1
DEFA11P	0	0	0	0	0	0
SPANXA2	1	0	0	0	0	0
AC092687.1	0	0	0	0	0	0
NPM1P29	0	0	2	0	0	0
AP000474.2	0	0	0	0	0	0
SALL1P1	0	0	0	0	0	0
PTPN20CP	0	0	0	0	0	0
AL121987.2	0	2	3	3	1	2
IFIT1B	0	0	0	0	0	0
AC105227.2	0	0	0	0	0	0
AC011632.2	0	0	0	0	0	0
AC131971.1	0	0	0	0	0	0
IGHV1OR15-6	0	0	0	0	0	0
RNU4-12P	0	0	0	0	0	0
SCYGR1	0	0	0	0	0	0
RNU6-910P	0	0	0	0	0	0
GTDC1	304	483	479	409	289	315
ZNF250	227	272	270	245	191	183
PPP4R1	1778	2457	2666	2661	2051	2119
KLHL18	637	769	712	795	625	620
TMEM150A	384	445	396	358	303	367
CCT6P1	89	109	121	123	75	90
PIGG	915	1076	1104	1022	777	830
RDM1P5	46	68	63	39	37	35
OR1F1	2	2	0	2	6	3
SLC16A9	219	249	315	253	161	163
AC011491.2	0	1	0	1	0	0
AC243585.1	0	0	0	0	0	0
N4BP2L1	64	75	108	76	56	68
MELTF	147	173	170	177	143	144
PCDHGB2	163	185	172	136	165	170
DPP9	1130	1322	1184	1325	1058	1029
H2AZ2	2864	3377	3503	3265	2431	2540
PRRT3	489	498	442	408	379	418
SHQ1	537	688	755	692	543	585
AL356010.1	0	0	0	0	0	0
PIGO	976	1092	1016	918	743	782
COL8A1	2	2	9	4	0	0
CCDC74A	216	207	229	177	137	162
FAM207A	562	617	602	539	532	545
AC016571.1	0	0	0	0	0	0
ZBED9	128	216	200	174	121	147
SNX22	83	120	101	112	103	97
IDH3A	608	777	785	762	571	524
OR52E6	0	0	0	0	0	0
ZDHHC21	201	273	310	218	162	165
AP1G1	2083	2846	3100	2739	1872	2091
ATP11C	947	1217	1525	1273	981	959
TRBV29OR9-2	0	0	0	0	0	0
SLC9A3P2	0	0	0	0	0	0
PLXNB1	3647	3716	3611	3571	2721	2988
FAM153B	0	0	0	0	0	0
C11orf45	85	107	73	98	93	90
TDRKH	775	968	999	948	753	751
PHLPP2	678	806	899	982	746	714
SYNJ2BP-COX16	58	79	16	58	76	45
PPP2R5B	230	255	279	252	226	255
IGHV3-30-2	0	0	0	0	0	0
RBBP8	929	1300	1394	1152	938	897
PEA15	1784	2218	1870	2377	1691	1788
EPB42	0	0	0	0	0	0
FAM133B	690	995	1077	959	697	741
SSX2IP	479	647	809	656	536	460
GSDMC	1	1	0	1	0	0
GPR176	2812	3353	3462	3608	3011	3152
MIR2681	0	0	0	0	0	0
AL359436.1	0	0	0	0	0	0
PARGP1	122	156	125	124	92	127
RN7SL72P	0	0	0	0	0	0
USP9Y	1496	1879	2273	1807	1428	1437
PCMTD2	1093	1256	1377	1162	966	1066
FNBP1L	3206	4101	4557	4226	3196	3387
TMLHE	286	378	425	372	255	301
RAG2	0	0	0	0	0	0
